id,user_id,user_login,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids,is_mature,follow_count,total_views
40666639403,26921830,elajjaz,Elajjaz,512953,Elden Ring,live,"Elden Ring, All Remembrance Speedruns for sub 1:55 (melee route) | !Displate @Elajjaz Twitter/Instagram",15074,2022-03-28T13:14:38Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_elajjaz-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],FALSE,426829,69297184
45080404668,50597026,ponce,Ponce,338715930,Maitre des Fleurs,live,PONCE - Culture & Plaisir !mdf [HotWheels après la game ! !ZLAN] | !rs !boutique,14764,2022-03-28T08:43:52Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_ponce-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', 'c2839af5-f1d2-46c4-8edc-1d0bfbd85070']",FALSE,707804,58868155
45996062237,85397463,noway4u_sir,NoWay4u_Sir,21779,League of Legends,live,Challengersoloq,14446,2022-03-28T12:33:08Z,de,https://static-cdn.jtvnw.net/previews-ttv/live_user_noway4u_sir-{width}x{height}.jpg,['9166ad14-41f1-4b04-a3b8-c8eb838c6be6'],FALSE,524288,99467095
45081405132,26991127,hiko,Hiko,516575,VALORANT,live,100T Hiko | case of the mondays | @Hiko on Twitter.,14416,2022-03-28T13:31:57Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_hiko-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],FALSE,1681987,68994973
45996947149,52091823,castro_1021,Castro_1021,1869092879,FIFA 22,live,BREAKING NEWS.   | @Castro1021,14037,2022-03-28T14:58:29Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_castro_1021-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],FALSE,3483642,135851354
45996065533,7601562,chess,Chess,743,Chess,live,FIDE Grand Prix - Leg 3 (Group Stage) - Berlin | Hosts Hess and Tsatsalashvili,13176,2022-03-28T12:33:42Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_chess-{width}x{height}.jpg,"['36a89a80-4fcd-4b74-b3d2-2c6fd9b30c95', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']",FALSE,780729,343419282
45995188845,31114208,zealsambitions,ZealsAmbitions,490100,Lost Ark,live,BIG STREAM - THANKS FOR 200K!! no megashield~~ #1 GS/WD/BLADE !BUILDS,11474,2022-03-28T09:09:35Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_zealsambitions-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '0cf86924-7940-4e8c-8984-5fbaaca4cd2d']",FALSE,199925,3544233
40666817915,579785040,biyin_,biyin_,509658,Just Chatting,live,PUES VAYA 2022,10953,2022-03-28T14:30:36Z,es,https://static-cdn.jtvnw.net/previews-ttv/live_user_biyin_-{width}x{height}.jpg,['d4bb9c58-2141-4881-bcdc-3fe0505457d1'],FALSE,2471887,27860732
45995697069,25116812,sacy,sacy,516575,VALORANT,live,LOUD SACY - oi islandia (15S DELAY) - !regras !camp !youtube !video !pix,10566,2022-03-28T11:22:04Z,pt,https://static-cdn.jtvnw.net/previews-ttv/live_user_sacy-{width}x{height}.jpg,"['1eba3cfe-51cc-460a-8259-bc8bb987f904', '39ee8140-901a-4762-bfca-8260dea1310f']",TRUE,425284,17145991
40666313643,219069796,jackeyy,Jackeyy,32982,Grand Theft Auto V,live,งงนิดหน่อยแต่ไม่เข้าใจมากๆ,10422,2022-03-28T10:39:10Z,th,https://static-cdn.jtvnw.net/previews-ttv/live_user_jackeyy-{width}x{height}.jpg,"['f19c7524-c18d-41af-9f39-034c8d0b0fee', 'c2839af5-f1d2-46c4-8edc-1d0bfbd85070']",FALSE,217799,9528171
